iter	Passed	Remaining
412	3712	5276
413	3721	5267
414	3729	5257
415	3738	5248
416	3747	5239
417	3756	5229
418	3764	5220
419	3773	5211
420	3782	5201
421	3790	5191
422	3799	5182
423	3807	5172
424	3816	5163
425	3824	5153
426	3833	5144
427	3842	5135
428	3851	5126
429	3861	5118
430	3870	5109
431	3878	5099
432	3887	5090
433	3896	5081
434	3904	5070
435	3912	5061
436	3920	5051
437	3929	5041
438	3938	5033
439	3947	5024
440	3957	5015
441	3966	5006
442	3974	4997
443	3982	4987
444	3991	4977
445	3999	4967
446	4007	4958
447	4016	4948
448	4025	4939
449	4034	4930
450	4052	4933
451	4061	4924
452	4069	4914
453	4078	4904
454	4086	4894
455	4095	4885
456	4104	4877
457	4114	4868
458	4125	4862
459	4135	4855
460	4145	4846
461	4154	4837
462	4163	4829
463	4173	4820
464	4183	4813
465	4193	4804
466	4203	4797
467	4213	4789
468	4223	4781
469	4232	4773
470	4244	4766
471	4252	4757
472	4262	4749
473	4272	4741
474	4282	4733
475	4292	4725
476	4301	4716
477	4311	4708
478	4321	4700
479	4331	4692
480	4342	4685
481	4351	4676
482	4361	4668
483	4371	4660
484	4381	4652
485	4391	4644
486	4401	4636
487	4411	4628
488	4420	4619
489	4431	4612
490	4441	4604
491	4450	4595
492	4460	4587
493	4469	4577
494	4478	4568
495	4486	4558
496	4495	4549
497	4504	4541
498	4513	4531
499	4521	4521
500	4530	4512
501	4538	4502
502	4547	4493
503	4556	4483
504	4565	4475
505	4573	4465
506	4583	4456
507	4591	4446
508	4600	4437
509	4609	4428
510	4617	4419
511	4626	4409
512	4635	4400
513	4644	4391
514	4652	4381
515	4662	4372
516	4670	4363
517	4679	4354
518	4687	4344
519	4696	4335
520	4704	4325
521	4713	4315
522	4722	4306
523	4731	4297
524	4739	4288
525	4748	4278
526	4756	4269
527	4764	4259
528	4773	4249
529	4781	4240
530	4790	4231
531	4799	4221
532	4808	4212
533	4816	4203
534	4826	4194
535	4834	4185
536	4843	4176
537	4852	4166
538	4861	4157
539	4869	4148
540	4878	4138
541	4886	4129
542	4896	4120
543	4904	4111
544	4913	4102
545	4922	4093
546	4931	4083
547	4939	4074
548	4947	4064
549	4956	4055
550	4965	4045
551	4974	4037
