iter	MultiClass
118	0.5819108061
119	0.5772249855
120	0.5737324335
121	0.5696188358
122	0.5653207982
123	0.5621806348
124	0.5577475357
125	0.5536305816
126	0.5477630668
127	0.5438976632
128	0.5397581177
129	0.5363980349
130	0.5323904329
131	0.5299369197
132	0.5274066915
133	0.5237687558
134	0.5205863352
135	0.5159511646
136	0.5129796065
137	0.5096986298
138	0.5054601395
139	0.501507871
140	0.4979725536
141	0.4949966175
142	0.4917941782
143	0.4874102907
144	0.482606096
145	0.4788724943
146	0.4755813671
147	0.4716102395
148	0.4678724148
149	0.4654049308
150	0.4630721514
151	0.4591984363
152	0.4555484242
153	0.4520928742
154	0.450196545
155	0.4478085665
156	0.4447624362
157	0.4414768755
158	0.4390793301
159	0.4363038368
160	0.4325128712
161	0.4291930771
162	0.4257470218
163	0.4234065968
164	0.420800715
165	0.4175345548
166	0.4146225809
167	0.411979188
168	0.4102333129
169	0.4076735931
170	0.4054369384
171	0.4021924038
172	0.3996749256
173	0.3977061821
174	0.3952764189
175	0.393170205
176	0.3910784605
177	0.3891405652
178	0.3874408721
179	0.3851554426
180	0.3827380903
181	0.3803819987
182	0.3786128895
183	0.3759021563
184	0.373147788
185	0.3714194943
186	0.3699352996
187	0.3679446706
188	0.3649177964
189	0.3633745976
190	0.36116926
191	0.3592284765
192	0.3567072592
193	0.3542395742
194	0.3519485156
195	0.3505884001
196	0.3479214849
197	0.3463538948
198	0.3435968798
199	0.3423682142
200	0.3401746667
201	0.3382711198
202	0.3361378668
203	0.3352818398
204	0.3333284635
205	0.3313079187
206	0.3297913518
207	0.328352774
208	0.3265382074
209	0.3252137795
210	0.3238805752
211	0.3216896727
212	0.3203949099
213	0.3183968172
214	0.3168619542
215	0.3143062283
216	0.3119773228
217	0.310732492
218	0.3094269278
219	0.3076381513
220	0.3057186139
221	0.3034856889
222	0.3018766054
223	0.3008185285
224	0.2993283031
225	0.2973082146
226	0.2960913664
227	0.2940275459
228	0.293037571
229	0.2918877788
230	0.2903783532
231	0.2892681623
232	0.2881581352
233	0.286993771
234	0.2852006612
235	0.283574084
236	0.2819359595
237	0.2806756042
238	0.2791070061
239	0.2775865498
240	0.2767054093
241	0.2751798652
242	0.2733949238
243	0.2715788026
244	0.2701793405
245	0.2693787165
246	0.2686506179
247	0.2677197978
248	0.2662276482
249	0.2654121482
250	0.2638174902
251	0.2625258704
252	0.2612458166
253	0.2605328329
254	0.2592237234
255	0.2576243139
256	0.2564563371
257	0.255950566
258	0.2548065092
259	0.2532806972
260	0.2523857018
261	0.2513276493
262	0.2501992933
263	0.2493641902
264	0.248019866
265	0.2466414869
266	0.2459637462
267	0.2448678908
268	0.2433268824
269	0.2418639758
270	0.2410550272
271	0.2397151863
272	0.2388146444
273	0.2378681165
274	0.2369178469
275	0.2358910622
276	0.2352961423
277	0.2344874393
278	0.2330848726
279	0.2320030699
280	0.2310415264
281	0.2297436712
282	0.2287970491
283	0.2279882461
284	0.2266235156
285	0.2259396092
286	0.2247649944
287	0.2238894653
288	0.2228989783
289	0.2221190995
290	0.2211048951
291	0.2203972816
292	0.2194628267
293	0.2188441348
294	0.217907834
295	0.2166843068
296	0.2157706497
297	0.2147204758
298	0.2136240665
299	0.2122703369
300	0.211331927
301	0.2103581089
302	0.2094954845
303	0.2087046853
304	0.2083612988
305	0.2077320318
306	0.2069808782
307	0.2062601132
308	0.205338524
309	0.2046753752
310	0.2036773905
311	0.2032701934
312	0.2022879731
313	0.2013802781
314	0.200253538
315	0.1993578306
316	0.1986987533
317	0.1974904297
318	0.1967095068
319	0.1962332816
320	0.1951520095
321	0.1944834258
322	0.1941575288
323	0.1933319799
324	0.1924186751
325	0.1917739666
326	0.1911284324
327	0.1902021968
328	0.189504512
329	0.1887374612
330	0.1880139668
331	0.1875138759
332	0.1868109172
333	0.1861104018
334	0.1854000298
335	0.1849328274
336	0.1838979542
337	0.1832862003
338	0.182520633
339	0.181574582
340	0.1810297183
341	0.1804162922
342	0.1799288134
343	0.1790730787
344	0.1781590324
345	0.1776217117
346	0.1768917082
347	0.1759855205
348	0.1752071213
349	0.174449355
350	0.1740328463
351	0.1731881826
352	0.1724934687
353	0.171924265
354	0.171083965
355	0.1706743251
356	0.1702987165
357	0.1696563626
358	0.1690376144
359	0.1683260381
360	0.1675985506
361	0.1671732343
362	0.1665996964
363	0.1659073273
364	0.165170453
365	0.1646795962
366	0.1643086207
367	0.1635694761
368	0.1631818163
369	0.1623864608
370	0.1619583817
371	0.1613539391
372	0.1608358117
373	0.1602461478
374	0.1597085565
375	0.1593177273
376	0.158734963
377	0.1582858355
378	0.157730935
379	0.1572071629
380	0.1566085128
381	0.1561229862
382	0.1557657266
383	0.1551133878
384	0.1544543548
385	0.1539805938
386	0.1535702349
387	0.1532457285
388	0.1526872811
389	0.1522122657
390	0.1515852865
391	0.151015504
392	0.1504898891
393	0.150049887
394	0.1496418278
395	0.1490352621
396	0.1484595204
397	0.1478914716
398	0.1473522188
399	0.1467725803
400	0.1462734412
401	0.145702445
402	0.1452277428
403	0.1447072913
404	0.1442747994
405	0.1438059412
406	0.1434494151
407	0.1428889641
408	0.14254807
409	0.1420797241
410	0.1416012297
411	0.1410170304
412	0.1406323146
413	0.1401688984
414	0.1399764463
415	0.139506159
416	0.1389493042
417	0.1386345719
418	0.138110001
419	0.1379741616
420	0.1375804601
421	0.1370917161
422	0.1366059877
423	0.1361864519
424	0.1355331053
425	0.1351362053
426	0.1346909409
427	0.1340944984
428	0.1337463143
429	0.133134025
430	0.1328702074
431	0.1325432843
432	0.1321175951
433	0.1317801701
434	0.1313680732
435	0.13101953
436	0.1306442124
437	0.1304338317
438	0.1300645728
439	0.1296687402
440	0.1292795209
441	0.1289285865
442	0.1285947195
443	0.1282558109
444	0.1279089179
445	0.1274685352
446	0.1270952048
447	0.1267603053
448	0.1264039503
449	0.1260529309
450	0.125735234
451	0.1255016564
452	0.125179881
453	0.1248088236
454	0.1245333445
455	0.1241265052
456	0.1236664496
457	0.1231684681
458	0.1228422305
459	0.1224909419
460	0.1222186614
461	0.1217947528
462	0.1214660041
463	0.1210286573
464	0.1208235019
465	0.1204750612
466	0.1201597728
467	0.119925432
468	0.1195644282
469	0.1192643933
470	0.1189285241
471	0.1187150155
472	0.1184319744
473	0.1180660711
474	0.1178112104
475	0.1175163265
476	0.1173278337
477	0.1170628629
478	0.116884141
479	0.1166024853
480	0.116273943
481	0.1158702059
482	0.115456706
483	0.115196037
484	0.1149429936
485	0.1145993594
486	0.1142877411
487	0.1140952128
488	0.1137738996
489	0.1134937078
490	0.113213479
491	0.1129433118
492	0.1125518936
493	0.1123602178
494	0.1120014645
495	0.1116275814
496	0.1113277606
497	0.1110462661
498	0.1107515423
499	0.1105381778
500	0.1102101962
501	0.1099614514
502	0.1096324485
503	0.1092710749
504	0.1090553621
505	0.1086921219
506	0.1083967756
507	0.1081582384
508	0.1078627783
509	0.1075561429
510	0.1073228741
511	0.1071297323
512	0.1068725105
513	0.1066178527
514	0.1064490665
515	0.1061282983
516	0.1058506058
517	0.1056406059
518	0.1053862788
519	0.1050876556
520	0.1049304752
521	0.104735223
522	0.1044685208
523	0.1041795983
524	0.1038665522
525	0.1036589389
526	0.1035304617
527	0.1033754296
528	0.1032016683
529	0.1029386653
530	0.1027627191
531	0.1025048135
532	0.1021805491
533	0.1019470118
534	0.1017318615
535	0.1015306476
536	0.1012936133
537	0.1010493541
538	0.1008011961
539	0.1005411759
540	0.100288778
541	0.09992482911
542	0.09964419931
543	0.09930477199
544	0.09901971835
545	0.09873524865
546	0.09853827508
547	0.09832870014
548	0.09808377797
549	0.09798385331
550	0.09771226022
551	0.09742816903
552	0.09713489835
553	0.09684440931
554	0.09657256468
555	0.0963515242
556	0.09617983473
557	0.09596657159
558	0.09563749782
559	0.09535522545
560	0.09510185081
561	0.09479719435
562	0.09456735812
563	0.09434882855
564	0.09405305
565	0.09376980685
566	0.09366336226
567	0.09344090187
568	0.09320814823
569	0.09300776695
570	0.09277526065
571	0.09247536979
572	0.09227638555
573	0.09205496563
574	0.09183461632
575	0.0916235422
576	0.09139157559
577	0.09123375529
578	0.09097633456
579	0.0907129367
580	0.09048481726
581	0.09028872268
582	0.09004991583
583	0.08985295829
584	0.08963401738
585	0.08943230385
586	0.08919710132
587	0.08897679064
588	0.0887540468
589	0.08860487241
590	0.08839256784
591	0.08820430699
592	0.08804157846
593	0.08784951567
594	0.08760340404
595	0.08739925842
596	0.08722588945
597	0.08702725956
598	0.08686743512
599	0.08666906224
600	0.08648700355
601	0.08627393476
602	0.08609197247
603	0.08592776197
604	0.08579375164
605	0.08570603754
606	0.08554437407
607	0.0853930812
608	0.08525727894
609	0.08512646974
610	0.08494671327
611	0.08481217922
612	0.0846388054
613	0.08443617765
614	0.08429598836
615	0.08407875215
616	0.08390575677
617	0.08366756656
618	0.08343894624
619	0.08335969757
620	0.08319390425
621	0.08299561992
622	0.08277732888
623	0.0826194471
624	0.08242574847
625	0.08220800957
626	0.08205192561
627	0.08190513597
628	0.08172263103
629	0.0815177704
630	0.08139135255
631	0.08122433733
632	0.08100474913
633	0.08087415889
634	0.08069054737
635	0.08053792546
636	0.08036462046
637	0.0802117403
638	0.08006458485
639	0.07987999442
640	0.07965463105
641	0.07954621859
642	0.07936874616
643	0.0791759422
644	0.07898988349
645	0.0788843864
646	0.07869317415
647	0.07852929373
648	0.07835823063
649	0.07822071056
650	0.07797394121
651	0.07785043984
652	0.0776456105
653	0.07747080372
654	0.07726203728
655	0.07706552478
656	0.07694999413
657	0.07685110403
658	0.07662767945
659	0.07651515485
660	0.07632691585
661	0.0761552759
662	0.07598660936
663	0.07588025028
664	0.07572551406
665	0.07555937327
666	0.07540549973
667	0.07522131798
668	0.07511921036
669	0.07499168028
670	0.07489047407
671	0.07466055299
672	0.07449055914
673	0.07434858812
674	0.07424790559
675	0.07410834674
676	0.07402475043
677	0.0738759837
678	0.07372604479
679	0.07363524582
680	0.07348789914
681	0.07339266647
682	0.07321247512
683	0.07308576026
684	0.07303781571
685	0.07295079058
686	0.07279598152
687	0.07272062272
688	0.07263954705
689	0.07248500406
690	0.07231810911
691	0.07216112002
692	0.07201778772
693	0.07189203794
694	0.07174217349
695	0.07156142996
696	0.07138180766
697	0.07127205805
698	0.07112077688
699	0.07096098825
700	0.0708398618
701	0.07071914534
702	0.0705608303
703	0.0704468236
704	0.07031240319
705	0.07020634161
706	0.0700220475
707	0.06985788578
708	0.06969918891
709	0.0695892763
710	0.06944797988
711	0.06936370241
712	0.06923342189
713	0.06912700096
714	0.0689959983
715	0.06887177756
716	0.06877780989
717	0.06869839432
718	0.06855046184
719	0.06847026225
720	0.06833482303
721	0.06817315626
722	0.06803910671
723	0.06791571263
724	0.06781878788
725	0.06770667067
726	0.06757353388
727	0.06739239768
728	0.0672667101
729	0.06719910353
730	0.06709369206
731	0.06700510235
732	0.06689814066
733	0.06678184025
734	0.06664634948
735	0.06652230254
736	0.06640639656
737	0.06628309458
738	0.06616165863
739	0.06604870132
740	0.06589532264
741	0.06577150315
742	0.06563880152
743	0.06556323478
744	0.06546329938
745	0.06531957646
746	0.06520320415
747	0.06505669194
748	0.06492525207
749	0.06487684122
750	0.06476262286
751	0.06466456202
752	0.06452853232
753	0.06442076328
754	0.06427462278
755	0.06413961464
756	0.0640325024
757	0.06390058714
758	0.06380017232
759	0.0637246227
760	0.06362674074
761	0.06349767784
762	0.06341705924
763	0.06329973524
764	0.06319756517
765	0.06304296856
766	0.06298129555
767	0.06287021872
768	0.06274814038
769	0.06264321571
770	0.06249452064
771	0.06236900131
772	0.0622781256
773	0.06215900429
774	0.06204604383
775	0.06195406777
776	0.0618194816
777	0.06174564383
778	0.06164699276
779	0.06155294482
780	0.06140624624
781	0.06132982538
782	0.06119588511
783	0.06106834307
784	0.06097882765
785	0.06088813337
786	0.06080471791
787	0.06072140345
788	0.06066743577
789	0.06057376983
790	0.06049146773
791	0.06033677329
792	0.06020276878
793	0.06010754516
794	0.06002057636
795	0.05993576371
796	0.05981396869
797	0.05970151659
798	0.05960523268
799	0.05951296534
800	0.05939217717
801	0.05926895537
802	0.05912996434
803	0.05903799724
804	0.05895570131
805	0.05881562297
806	0.0587149914
807	0.05863534151
808	0.05854431623
809	0.05846851018
810	0.05838969222
811	0.0583099012
812	0.05819462943
813	0.05810150757
814	0.0580599244
815	0.05797380936
816	0.0578800656
817	0.05779539194
818	0.0577099814
819	0.05765577088
820	0.05753140474
821	0.05744264764
822	0.05734973277
823	0.05722288127
824	0.05716107583
825	0.05707317658
826	0.0569681497
827	0.05688045897
828	0.05677048229
829	0.05668970182
830	0.0565737371
831	0.05647337125
832	0.05640873521
833	0.05635990377
834	0.05631313215
835	0.05621926731
836	0.05612813587
837	0.05601811447
838	0.05591260941
839	0.05585543691
840	0.05572174844
841	0.05563832916
842	0.05553593623
843	0.0554852592
844	0.05540803241
845	0.05530639712
846	0.05523859012
847	0.05515070577
848	0.055024947
849	0.05490532197
850	0.05483195997
851	0.0547569099
852	0.05465797718
853	0.05457242392
854	0.05450996319
855	0.05441705522
856	0.05433119527
857	0.05424314252
858	0.05415307957
859	0.0540701938
860	0.0539874904
861	0.05389526674
862	0.05383689394
863	0.05373450702
864	0.05366117465
865	0.05359203559
866	0.05356157317
867	0.0535066469
868	0.05348614995
869	0.05338671221
870	0.05331585092
871	0.05323462232
872	0.05313733565
873	0.05302966162
874	0.05297944563
875	0.05290465872
876	0.05287289114
877	0.05278880173
878	0.05269795289
879	0.0526376997
880	0.05256096389
881	0.05244820653
882	0.05239144899
883	0.05229536193
884	0.05221775452
885	0.05215416247
886	0.05204387698
887	0.05196029085
888	0.05186962724
889	0.05178250421
890	0.05172072228
891	0.05164234993
892	0.05157090139
893	0.0514887279
894	0.05139389143
895	0.05132265602
896	0.05125695773
897	0.05118265903
898	0.05108881781
899	0.0510041561
900	0.05090184757
901	0.05079797922
902	0.05069984634
903	0.05062818454
904	0.05055934772
905	0.05045370743
906	0.05035045221
907	0.05027547264
908	0.05020119338
909	0.05011205692
910	0.05000072666
911	0.04991936667
912	0.04984253885
913	0.04977013784
914	0.04970372967
915	0.04963120223
916	0.04956034752
917	0.04952000955
918	0.04945575003
919	0.0493857826
920	0.04932508575
921	0.04927347239
922	0.04920242329
923	0.04913001243
924	0.04909643963
925	0.04900705361
926	0.04895986712
927	0.04889812071
928	0.04880779155
929	0.04875874462
930	0.0486609686
931	0.04861607083
932	0.04854304427
933	0.04843319108
934	0.04834370199
935	0.04828310157
936	0.04824671496
937	0.04815661237
938	0.04813181919
939	0.04806091791
940	0.04800400997
941	0.04796738508
942	0.0478976874
943	0.04783755122
944	0.04775701543
945	0.04770893115
946	0.04763235183
947	0.04758215214
948	0.04755306617
949	0.04750374705
950	0.04741494952
951	0.04734302151
952	0.04726238788
953	0.0472045156
954	0.04713511832
955	0.04704857454
956	0.04697618926
957	0.04689766399
958	0.04683319715
959	0.04675937115
960	0.04670423489
961	0.04662959706
962	0.04657449021
963	0.04652992824
964	0.04647646938
965	0.04639745375
966	0.04635036613
967	0.0462832223
968	0.04621005055
969	0.04613284381
970	0.04606718666
971	0.04601637896
972	0.04594237965
973	0.04587636015
974	0.0457985781
975	0.04573224859
976	0.04567746775
977	0.04560544666
978	0.04553060873
979	0.04546331252
980	0.04540080347
981	0.04533801555
982	0.0452630628
983	0.04520887808
984	0.04515574527
985	0.04510769248
986	0.04506656899
987	0.04500320005
988	0.04497242581
989	0.04492181245
990	0.04485419424
991	0.04478359486
992	0.04473685978
993	0.0446668483
994	0.04462248445
995	0.04458415751
996	0.04451616423
997	0.04446065088
998	0.04440335076
999	0.04431367443
